id;contact_name;job_title;email_address;phone_no;address_number;address_street;address_city;lead_source;status
1;glittering whenever within;Principal Branding Coordinator;overconfidently wiggly scarcely;disastrous;22549;pound;on;gray sustenance mmm;LEAD
2;whether;Customer Group Analyst;last aw zowie;where;31457;code hence;atop except;waiter;PROSPECT
3;haste;Principal Response Director;vaporise from alongside;roughly plus ha;4700;oof oh geez;supersized repentant caffeine;spectacular far notwithstanding;PROSPECT
4;defiantly;Future Response Officer;meh following magnificent;aw lovingly;26294;noisily;adumbrate yahoo because;gosh;LEAD
5;actually politely mmm;Chief Usability Manager;slime;concerning;16264;whoa huzzah soon;versus beneath gadzooks;nutrition while whoa;CUSTOMER
6;clean peek carbonize;Senior Metrics Consultant;fortunately;since yowza;21613;breeze scared consequently;subsidize;simplicity;PROSPECT
7;coddle husky;Investor Web Technician;so down preach;colorfully rust rundown;9115;key nor;jodhpurs;instead via duh;CUSTOMER
8;where;Forward Factors Strategist;as;dinosaur brr reluctantly;21028;clarity honestly broadly;phooey ack;awareness;CUSTOMER
9;drat;International Intranet Assistant;meanwhile around;quizzically hemorrhage whenever;28480;blind minor;optimal;preserve active;LEAD
10;bah mmm;Direct Paradigm Officer;faint rebrand;milepost;3145;vivaciously;meh;rib excitedly intensely;CUSTOMER
